Date,Time,Crop_Type,Solar_Energy_Production_kWh,Temperature_C,Rainfall_mm,Soil_Moisture_Content,Area_in_Hectares,Production_in_Tons,Crop_Yield_tons_ha,pH
1/1/2020,0:00:00,Lettuce,0,31.71,27.3,45.28,2.92,9.78,1.75,5.82
1/1/2020,2:30:00,Lettuce,0,26.91,24.67,45.68,2.36,7.43,1.43,5.59
1/1/2020,4:45:00,Lettuce,0,25.29,25.62,45.82,4.63,10.83,4.71,6.9
1/1/2020,7:15:00,Lettuce,1.335,26.75,19.21,47.5,2.72,4.68,0.43,5.8
1/1/2020,9:30:00,Lettuce,0.875,24.52,21.59,40.96,3.87,2.26,1.78,5.93
1/1/2020,12:00:00,Lettuce,1.59,31.71,28.09,46.31,0.68,8.36,4.53,5.83
1/1/2020,14:30:00,Lettuce,1.38,28.31,13.94,46.84,3.81,2.78,2.8,6.14
1/1/2020,16:45:00,Lettuce,1.97,24.04,19.52,44.19,4.86,8.45,1.61,6.61
1/1/2020,19:15:00,Lettuce,0.165,24.77,19.78,43.42,3.95,4.61,-0.55,5.19
1/1/2020,21:30:00,Lettuce,0,26.58,28.88,46.8,1.25,4.92,2.34,6.56
2/1/2020,0:00:00,Lettuce,0,29.98,19.82,41.44,1.91,8.02,1.77,5.97
2/1/2020,2:30:00,Lettuce,0,29.62,22.27,40.44,2.24,2,3.8,6.55
2/1/2020,4:45:00,Lettuce,0,24.12,23.02,52.55,1.59,9.4,3.96,6.05
2/1/2020,7:15:00,Lettuce,0.79,24.27,13.21,48.1,1.54,8.88,3.68,6.7
2/1/2020,9:30:00,Lettuce,0.295,25.28,12.71,43.03,1.35,6.22,-0.53,6.36
2/1/2020,12:00:00,Lettuce,1.625,28.83,15.51,44.06,3.55,6.94,5.3,5.34
2/1/2020,14:30:00,Lettuce,2.06,31.67,16.2,37.73,2.17,8.24,2.03,6.47
2/1/2020,16:45:00,Lettuce,2.51,29.44,22.8,43.16,3.14,6.6,3.84,6.71
2/1/2020,19:15:00,Lettuce,1.52,28.62,27.09,46.5,4.13,-0.02,1.27,5.56
2/1/2020,21:30:00,Lettuce,0,28.31,27.71,47.47,3.15,3.78,3.41,6.15
3/1/2020,0:00:00,Lettuce,0,24.3,26.07,44.4,2.3,2.15,0.52,6.23
3/1/2020,2:30:00,Lettuce,0,28.39,21.72,47.35,0.14,1.45,4.87,5.85
3/1/2020,4:45:00,Lettuce,0,24.15,27.44,39.62,4.56,6.03,3.19,6.68
3/1/2020,7:15:00,Lettuce,1.46,31.75,25.94,45.32,3.49,6.77,1.57,5.64
3/1/2020,9:30:00,Lettuce,1.675,23.16,18.75,48.33,1.85,6.88,2.49,5.31
3/1/2020,12:00:00,Lettuce,2.505,27.58,21.14,51.26,2.16,2.67,2.46,5.87
3/1/2020,14:30:00,Lettuce,0.27,31.98,25.1,46.47,2.98,1.89,0.42,6.12
3/1/2020,16:45:00,Lettuce,2.76,31.23,10.22,43.32,4.93,7.64,0.67,5.1
3/1/2020,19:15:00,Lettuce,1.835,23.33,24.78,48.96,4.58,1.4,3.72,6.01
3/1/2020,21:30:00,Lettuce,0,31.36,14.16,47.17,0.96,-0.43,3.51,5.75
4/1/2020,0:00:00,Lettuce,0,29.6,10.32,42.88,4.14,4.17,4.26,5.25
4/1/2020,2:30:00,Lettuce,0,24.21,12.24,49.74,2.23,6.19,-0.37,6.99
4/1/2020,4:45:00,Lettuce,0,23.24,11,42.2,2.98,0.86,0.61,6.39
4/1/2020,7:15:00,Lettuce,2.355,30.65,12.68,44.57,4.13,4.66,1.16,5.3
4/1/2020,9:30:00,Lettuce,0.14,24.76,27.87,47.94,2.94,2.59,2.81,6.99
4/1/2020,12:00:00,Lettuce,1.15,30.69,27.25,47.11,3.98,8.81,3.72,5.83
4/1/2020,14:30:00,Lettuce,2.75,23.38,26.04,41.18,1.62,5.29,1.7,5.35
4/1/2020,16:45:00,Lettuce,1.26,27.06,22.03,42.03,3.13,6.96,2.83,6.29
4/1/2020,19:15:00,Lettuce,1.495,31.19,23.88,45.56,1.17,5.3,4.83,6.69
4/1/2020,21:30:00,Lettuce,0,30.7,23.04,38.8,3.17,7.74,2.49,6.22
5/1/2020,0:00:00,Lettuce,0,25.75,13.11,42.7,2.3,4.25,3.81,6.7
5/1/2020,2:30:00,Lettuce,0,27.55,20.52,40.88,4.66,3.79,1.71,6.86
5/1/2020,4:45:00,Lettuce,0,28.92,12.29,42.72,3.11,2.68,2.52,6.04
5/1/2020,7:15:00,Lettuce,2.795,26.79,18.94,38.72,1.14,9.3,3.28,6.64
5/1/2020,9:30:00,Lettuce,0.19,23.95,11.8,42.42,4.36,5.5,5.25,5.97
5/1/2020,12:00:00,Lettuce,2.37,26.67,18.7,48.8,3.3,6.4,2.39,6.82
5/1/2020,14:30:00,Lettuce,1.11,30.19,10.63,44.94,1.35,0.35,0.51,5.41
5/1/2020,16:45:00,Lettuce,2.305,26.71,18.1,51.2,1.8,5.29,1.81,5.5
5/1/2020,19:15:00,Lettuce,2.38,27.47,10.14,44.63,1.06,7.99,4.98,6.3
5/1/2020,21:30:00,Lettuce,0,31.01,25.72,40.37,0.71,4.84,2.49,5.77
6/1/2020,0:00:00,Lettuce,0,28.67,13.88,43.19,4.22,9.55,1.78,5.2
6/1/2020,2:30:00,Lettuce,0,26.54,13.17,45.48,1.33,8.04,0.47,6.38
6/1/2020,4:45:00,Lettuce,0,29.05,29.01,41.92,1.43,4.76,1.19,5.54
6/1/2020,7:15:00,Lettuce,0.305,31.34,27.45,43.81,0.4,6.22,0.44,5.44
6/1/2020,9:30:00,Lettuce,2.765,23.15,17.9,47.73,2.17,5.3,3.61,5.31
6/1/2020,12:00:00,Lettuce,0.015,26.03,19.82,48.37,3.89,6.08,2.36,5.13
6/1/2020,14:30:00,Lettuce,0.885,26.66,20.67,44.43,5.47,3.97,1.56,6.73
6/1/2020,16:45:00,Lettuce,1,25.28,20.87,37,2.38,7.36,3.87,6.53
6/1/2020,19:15:00,Lettuce,2.235,24.67,16.02,44.39,2.72,5.21,2.1,5.93
6/1/2020,21:30:00,Lettuce,0,23.58,21.94,39.74,2.52,5.65,3.08,6.76
7/1/2020,0:00:00,Lettuce,0,29.93,29.63,41.82,0.81,-0.76,0.95,6.91
7/1/2020,2:30:00,Lettuce,0,25.15,12.59,42.49,1.52,1.73,5.38,6.08
7/1/2020,4:45:00,Lettuce,0,24.73,27.18,41.22,3.35,1.79,4.09,5.68
7/1/2020,7:15:00,Lettuce,0.745,28.22,24.1,50.3,2.33,1.62,3.61,6.87
7/1/2020,9:30:00,Lettuce,1.675,23.05,27.41,39.94,1.84,8.97,3.58,5.68
7/1/2020,12:00:00,Lettuce,1.705,30,24.3,42.66,1.59,3.1,5.03,6.56
